WITHOUT REMOVING STOPWORDS:  NAIVE BAYES: 83.89%
LEARNING_RATE   EPOCHS   ACCURACY      EPOCHS_UNTIL_CONVERGENCE
0.005              3      72.80%              16
0.005              5      73.01%              16
0.005              16     89.12%              16
0.01               5      73.01%              16
0.01               10     72.80%              16
0.01               16     89.12%              16
0.05               5      72.80%              14
0.05               10     72.80%              14
0.05               14     90.59%              14
0.1                5      72.80%              14
0.1                10     72.80%              14
0.1                14     90.59%              14
0.12               5      72.80%              18
0.12               10     73.85%              18
0.12               18     93.93%              18
0.25               3      72.80%              18
0.25               5      73.01%              18
0.25               18     93.10%              18
0.5                5      73.01%              18
0.5                18     93.10%              18
REMOVING STOPWORDS:  NAIVE BAYES: 92.26%
LEARNING_RATE   EPOCHS   ACCURACY      EPOCHS_UNTIL_CONVERGENCE
0.005              3      72.80%              8
0.005              5      73.22%              8
0.005              10     93.51%              8
0.01               3      72.80%              8
0.01               5      73.22%              8
0.01               10     93.51%              8
0.05               3      73.85%              7
0.05               5      96.44%              7
0.05               10     93.51%              7
0.1                3      73.85%              7
0.1                5      96.44%              7
0.1                10     93.51%              7
0.12               3      73.43%              6
0.12               5      91.84%              6
0.12               10     92.89%              6
0.25               3      72.80%              8
0.25               5      72.80%              8
0.25               10     93.51%              8
0.5                5      72.80%              8
0.5                10     93.51%              8


